customer_reference_id,item_purchased,purchase_amount,date_purchase,review_rating,payment_method,item_purchased_encoded,payment_method_encoded,purchase_month,purchase_weekday,purchase_day,avg_spend_per_customer
4115,Tunic,2456.0,2023-07-11,2.0,Credit Card,46,1,7,1,11,242.44
4019,Tank Top,2102.0,2023-03-23,4.1,Cash,42,0,3,3,23,316.3
4097,Leggings,3126.0,2023-03-15,3.2,Cash,20,0,3,2,15,490.75
3997,Wallet,3003.0,2022-11-27,4.7,Cash,49,0,11,6,27,317.25
4080,Onesie,2914.0,2022-12-11,4.5,Credit Card,22,1,12,6,11,345.67
4055,Jacket,2571.0,2023-07-08,1.3,Cash,16,0,7,5,8,315.0
3973,Trousers,2419.0,2022-11-10,4.6,Cash,45,0,11,3,10,206.25
4044,Jeans,4771.0,2023-05-19,4.1,Cash,17,0,5,4,19,485.83
4108,Slippers,2356.0,2023-03-19,4.8,Credit Card,34,1,3,6,19,379.33
4067,Bowtie,4418.0,2022-11-21,3.4,Cash,5,0,11,0,21,326.4
4102,Trench Coat,2130.0,2023-01-29,4.8,Cash,44,0,1,6,29,216.11
4044,Handbag,2122.0,2023-08-01,1.2,Credit Card,13,1,8,1,1,485.83
4017,Gloves,2895.0,2023-07-17,3.6,Credit Card,12,1,7,0,17,238.5
4001,Trench Coat,2952.0,2023-06-13,2.2,Cash,44,0,6,1,13,258.11
3976,Slippers,4069.0,2023-06-18,4.9,Credit Card,34,1,6,6,18,389.67
3986,Gloves,4298.0,2023-04-05,4.2,Cash,12,0,4,2,5,328.22
4108,Jeans,2814.0,2023-02-11,4.4,Credit Card,17,1,2,5,11,379.33
4109,Flip-Flops,4932.0,2022-12-20,4.0,Credit Card,11,1,12,1,20,629.89
4075,Tunic,4661.0,2023-04-12,1.2,Credit Card,46,1,4,2,12,307.26
4040,Shorts,4872.0,2023-08-25,3.8,Cash,32,0,8,4,25,383.47
4099,Blazer,4232.0,2022-10-25,2.7,Credit Card,2,1,10,1,25,375.12
3981,Boots,3718.0,2023-09-10,2.8,Credit Card,4,1,9,6,10,392.0
4070,Poncho,2902.0,2023-08-04,4.9,Cash,27,0,8,4,4,262.78
4002,Belt,3839.0,2023-05-26,1.8,Cash,1,0,5,4,26,287.27
4035,Tunic,4413.0,2022-12-23,1.2,Credit Card,46,1,12,4,23,601.5
4060,Boots,3139.0,2023-01-26,3.4,Credit Card,4,1,1,3,26,296.06
3974,Flip-Flops,2026.0,2023-04-16,4.0,Cash,11,0,4,6,16,237.2
4110,Hoodie,2653.0,2022-10-11,4.2,Credit Card,15,1,10,1,11,219.05
3984,Sweater,4859.0,2022-12-19,5.0,Cash,39,0,12,0,19,451.93
4054,Swimsuit,3393.0,2023-02-28,4.3,Cash,40,0,2,1,28,389.5
4083,Cardigan,2636.0,2023-04-09,1.7,Cash,7,0,4,6,9,272.13
3972,Pants,3378.0,2023-05-06,3.6,Cash,25,0,5,5,6,274.33
3980,Pajamas,2418.0,2023-05-26,2.2,Credit Card,24,1,5,4,26,250.75
4012,Scarf,2379.0,2023-05-29,2.9,Credit Card,31,1,5,0,29,312.0
3992,Backpack,101.0,2022-12-13,1.3,Credit Card,0,1,12,1,13,107.63
4105,Dress,164.0,2022-10-20,3.2,Credit Card,9,1,10,3,20,83.22
4119,Boots,21.0,2023-04-03,3.9,Cash,4,0,4,0,3,104.38
3957,Camisole,147.0,2022-11-04,4.7,Cash,6,0,11,4,4,97.8
